sentence	lemma
Cordero finished the 2004 season with a 2.13 ERA .	Cordero finish the 2004 season with a 2.13 era .
Meanwhile the US consumer price index fell 0.1 percent in May from the previous month .	meanwhile the US consumer price index fall 0.1 percent in May from the previous month .
Click here for the full recap of all the night 's action , featuring photos from fight photographer Ed Mulholland .	click here for the full recap of all the night 's action , feature photo from fight photographer Ed Mulholland .
His fiancÃ © e , Sarah White , and son , Kelentric White , will drive from Boutte in St. Charles Parish to deliver a gift and card .	he fiancÃ por e , Sarah White , and son , Kelentric White , will drive from Boutte in St. Charles Parish to deliver a gift and card .
On a different hunt I was lucky enough for once to be drawn to be a sitter as the other hunters drove deer to my position in the woods .	on a different hunt I be lucky enough for once to be draw to be a sitter as the other hunter drive deer to my position in the wood .
When word of Cornell 's request reached area residents last year many voiced their opposition to the reduction .	when word of Cornell 's request reach area resident last year many voice they opposition to the reduction .
Providing Bush education : Richard Carroll Jr. , owner and operator of Alaska Yukon Tours , cleans his powder - blue school bus that serves as his classroom in Fort Yukon .	provide Bush education : Richard Carroll Jr. , owner and operator of Alaska Yukon Tours , clean he powder - blue school bus that serve as he classroom in Fort Yukon .
Both are deserving organisations offering important services to families and children in our region .	both be deserving organisation offer important service to family and child in we region .
Lohr , a graduate of Morgan County High School , owns The Connection , a hair salon in Lowell .	Lohr , a graduate of Morgan County High School , own the connection , a hair salon in Lowell .
The right thing would have been to get this young man some help said Michael Brannon , a forensic psychologist appointed by a judge to examine Tate after the 1999 killing of 6 - year - old Tiffany Eunick .	the right thing would have be to get this young man some help say Michael Brannon , a forensic psychologist appoint by a judge to examine Tate after the 1999 killing of 6 - year - old Tiffany Eunick .
Close to 1,000 people lined Grey Street in Glen Innes to cheer on the marchers , which including a big contingent of local schoolchildren representing their schools .	close to 1,000 people line Grey Street in Glen Innes to cheer on the marcher , which include a big contingent of local schoolchild represent they school .
"It was such a loud noise , "" said Moore ."	"it be such a loud noise , "" say Moore ."
Asia Silk says it intends to increase its market share , secure new customers and look into acquisitions , investments , strategic alliances or joint ventures to expand its market base .	Asia Silk say it intend to increase its market share , secure new customer and look into acquisition , investment , strategic alliance or joint venture to expand its market base .
DeOliveira refused to give a statement , the supervisor said .	DeOliveira refuse to give a statement , the supervisor say .
As a youth , Rainier had a long romance with French actress Gisele Pascal , became a keen fan of jazz and studied oceanography , later helping to finance Jacques Couteau 's Oceanographic Institute in Monaco .	as a youth , Rainier have a long romance with french actress Gisele Pascal , become a keen fan of jazz and study oceanography , later help to finance Jacques Couteau 's Oceanographic Institute in Monaco .
Total sales rose 7.4 percent . Wal - Mart did get a boost from Sam 's Club , which posted a 4.9 percent gain for the month .	total sale rise 7.4 percent . Wal - Mart do get a boost from Sam 's Club , which post a 4.9 percent gain for the month .
"We will continue to do that one until we know the new station has been a success to our community , "" said Yang , who also is the coordinator for "" Hmong News "" on WJFW - TV 12 in Rhinelander ."	"we will continue to do that one until we know the new station have be a success to we community , "" say Yang , who also be the coordinator for "" Hmong News "" on WJFW - TV 12 in Rhinelander ."
"We did n't know it was going to grow that quickly , "" said Crocker ."	"we do not know it be go to grow that quickly , "" say Crocker ."
Joey will appear in many different roles such as comedian , villain and policeman .	Joey will appear in many different role such as comedian , villain and policeman .
Samuel LeBreton , an economist with Human Resources and Skills Development Canada , says New Brunswick hasn ?	Samuel LeBreton , a economist with human resource and Skills Development Canada , say New Brunswick hasn ?
Among the first scheduled to take the stand as a defence witness is former child star Macaulay Culkin , of Home Alone fame , who is widely expected to deny claims that Jackson ever fondled him .	among the first schedule to take the stand as a defence witness be former child star Macaulay Culkin , of Home Alone fame , who be widely expect to deny claim that Jackson ever fondle he .
A WIFE has accused her husband , an employee of the Davao City Water District , of punching her when she caught him and another woman inside a store in Ramon Magsaysay Avenue yesterday .	a wife have accuse she husband , a employee of the Davao City Water District , of punch she when she catch he and another woman inside a store in Ramon Magsaysay Avenue yesterday .
In the Hispanic population and aging general population , focus groups are held annually to address housing , streets and general safety of our citizens , to direct changes needed to provide these essential services .	in the hispanic population and age general population , focus group be hold annually to address housing , street and general safety of we citizen , to direct change need to provide these essential service .
No matter how stressful it gets , you still manage to look bright , breezy and in control .	no matter how stressful it get , you still manage to look bright , breezy and in control .
What about Madeline Federline ?	what about Madeline Federline ?
â€ œ Even a few weeks ago it looked like it could just come down to a scrap between us and United , â€ he added .	â€ œ even a few week ago it look like it could just come down to a scrap between we and United , â€ he add .
"The dog is a major deterrent , "" said Bell County Schools Superintendent George Thompson ."	"the dog be a major deterrent , "" say Bell County Schools Superintendent George Thompson ."
"The message our young athletes get today is that the ' Breakfast of Champions ' is chock - full of juice , "" said the subcommittee 's ranking Democrat , Jan Schakowsky of Illinois ."	"the message we young athlete get today be that the ' Breakfast of Champions ' be chock - full of juice , "" say the subcommittee 's rank Democrat , Jan Schakowsky of Illinois ."
There is an entire neighborhood of townhouses in the New Lenox School District , as well as a planned Jewel - Osco store .	there be a entire neighborhood of townhouse in the New Lenox School District , as well as a plan Jewel - Osco store .
The $ 1.5 million tournament , sanctioned by the European and Asian tours , is being played for the second straight year in Shanghai .	the $ 1.5 million tournament , sanction by the european and asian tour , be be play for the second straight year in Shanghai .
HOWELL , Mich . - Blissfield was only nine outs away from ending the longest winning streak in high school baseball history , but a rain delay and a wild pitch dashed the Royals ' hopes and extended Homer High 's phenomenal run .	HOWELL , Mich . - Blissfield be only nine out away from end the longest win streak in high school baseball history , but a rain delay and a wild pitch dash the Royals 's hope and extend Homer High 's phenomenal run .
Even though I was skeptical about Manny Stewardâ€ ™ s partnership with the younger Klitschko , in the Brewster and Williamson fights , the improvements were truly visible in his game during this fight and seem to be putting Wlad on the right track .	even though I be skeptical about Manny Stewardâ€ ™ 's partnership with the younger Klitschko , in the Brewster and Williamson fight , the improvement be truly visible in he game during this fight and seem to be put Wlad on the right track .
Finally , an attempt to send the message through an SMTP server is made .	finally , a attempt to send the message through a smtp server be make .
The padauk blossom flowers after a cold rain shower , he said .	the padauk blossom flower after a cold rain shower , he say .
I am astounded : July lean hogs were near $ 80 on April 1 , and they are near $ 66 on June 20 . What has happened during this period ?	I be astounded : July lean hog be near $ 80 on April 1 , and they be near $ 66 on June 20 . what have happen during this period ?
John Lucas has been a loser ever since he stopped coaching the Spurs , yet he 's always a candidate for a head coaching position .	John Lucas have be a loser ever since he stop coach the Spurs , yet he be always a candidate for a head coaching position .
You would think at some point , guys on the floor will say , ` Not tonight . ' 124 It seems as if you 've had to be ready for anything . 125 I guess that 's what happens when you are playing a club that is hot , Cubs manager Dusty Baker said .	you would think at some point , guy on the floor will say , ` not tonight . ' 124 it seem as if you have have to be ready for anything . 125 I guess that be what happen when you be play a club that be hot , Cubs manager Dusty Baker say .
And it&rsquo ;s at the high school level that the transfer trend becomes taboo in the minds of many parents , coaches and administrators .	and it&rsquo be at the high school level that the transfer trend become taboo in the mind of many parent , coach and administrator .
The problem is worst among gay Latino men ages 30 to 49 in Bernalillo County and southern New Mexico .	the problem be worst among gay latino man age 30 to 49 in Bernalillo County and southern New Mexico .
It also competes with some smaller grocers such as Fareway , she said .	it also compete with some smaller grocer such as Fareway , she say .
Phil Mickelson and the rest of the field at the BellSouth Classic had to wait an extra day to tee off .	Phil Mickelson and the rest of the field at the BellSouth Classic have to wait a extra day to tee off .
However , if you do n't fancy watching the World Superbike action from the grandstand and would rather watch it from the luxury of a hospitality suite then Silverstone also has a special hospitality package available for race day .	however , if you do not fancy watch the World Superbike action from the grandstand and would rather watch it from the luxury of a hospitality suite then Silverstone also have a special hospitality package available for race day .
Atlanta failed again in it s bid to win two in a row for the first time this season .	Atlanta fail again in it 's bid to win two in a row for the first time this season .
Candy bars and other foods used to raise funds for clubs could be included .	candy bar and other food use to raise fund for club could be include .
And that sloppy , time - killing , unnecessary run turned out to be the game winner as Houston hung on by its fingernails to beat the gallant Brewers 8 - 7 to sweep this condensed two - game series .	and that sloppy , time - killing , unnecessary run turn out to be the game winner as Houston hang on by its fingernail to beat the gallant Brewers 8 - 7 to sweep this condense two - game series .
"I think there 's every prospect that we 'll get some good legislation , "" said Electoral Commission Chairman Sam Younger ."	"I think there be every prospect that we will get some good legislation , "" say Electoral Commission Chairman Sam younger ."
Essendon to assist , along with private bulldozers .	Essendon to assist , along with private bulldozer .
And , some trees that seem dead might simply need time to recover from some other injury .	and , some tree that seem dead might simply need time to recover from some other injury .
He suddenly had difficulty swallowing .	he suddenly have difficulty swallow .
South African officials are due to meet the defence ministry director and tour Israel 's defence and aircraft industries to discuss possible joint ventures .	south african official be due to meet the defence ministry director and tour Israel 's defence and aircraft industry to discuss possible joint venture .
The News Journal will have further details next Wednesday .	the News Journal will have further detail next Wednesday .
He says he ca nt arrange for us to get back to the old route or do anything more and yet he wants to bring the Commonwealth Games to Scotland its ridiculous .	he say he can not arrange for we to get back to the old route or do anything more and yet he want to bring the Commonwealth Games to Scotland its ridiculous .
Fears over childhood obesity have prompted the Scottish Executive initiative , which is supported by the city council .	fear over childhood obesity have prompt the scottish executive initiative , which be support by the city council .
Still , the state had Democratic governors for 17 of 18 years before he won in 2002 .	still , the state have democratic governor for 17 of 18 year before he win in 2002 .
The reality has been quite different .	the reality have be quite different .
Mannino was terrific in goal , Gwozdecky said .	Mannino be terrific in goal , Gwozdecky say .
Saladin won $ 16,431.96 in 15 events and finished in the top 10 once in the Gateway Tour 's spring session .	Saladin win $ 16,431.96 in 15 event and finish in the top 10 once in the Gateway Tour 's spring session .
More than 500 businesspeople are expected to attend the conference , which offers a day of comprehensive presentations and seminars that focus on key aspects of competing in the global market .	more than 500 businesspeople be expect to attend the conference , which offer a day of comprehensive presentation and seminar that focus on key aspect of compete in the global market .
Servicing both these groups of customers , we are actually much more involved in the DRAM - industry processes than it is usually necessary for , as you said , third - party DRAM - module makers .	service both these group of customer , we be actually much more involved in the dram - industry process than it be usually necessary for , as you say , third - party dram - module maker .
"Steamboat taxpayers might very well understand the community concept , "" she said ."	"Steamboat taxpayer might very well understand the community concept , "" she say ."
Five years after taking over the Bobcats ' program , he guided Ohio to a 25 - 8 record and was named the Mid - American Conference Coach of the Year .	five year after take over the Bobcats 's program , he guide Ohio to a 25 - 8 record and be name the mid - American Conference coach of the Year .
Pokharel is survived by six children and two wives .	Pokharel be survive by six child and two wife .
New Hampshire and Vermont are forecast to have the region 's lowest unemployment during that period , averaging 3.1 percent and 3.4 percent , respectively , with Massachusetts posting the region 's highest rate at 4.8 percent .	New Hampshire and Vermont be forecast to have the region 's lowest unemployment during that period , average 3.1 percent and 3.4 percent , respectively , with Massachusetts post the region 's highest rate at 4.8 percent .
Abusers often make the accusations that the partner is seeing someone else or is being unfaithful . 153 At least one arrest in connection with that incident has been made . 154 While at the library , we also heard from Phyllis Wall , coordinator of the Hale County Literacy Council . 155 His	abuser often make the accusation that the partner be see someone else or be be unfaithful . 153 at least one arrest in connection with that incident have be make . 154 while at the library , we also hear from Phyllis Wall , coordinator of the Hale County Literacy Council . 155 he
Atkins said the formal transfer of the shares coincided with the turnover of the plant , the interest for which were earlier acquired by Polymax Worldwide Ltd. of local Metro Alliance group , which specializes in chemical production and distribution .	Atkins say the formal transfer of the share coincide with the turnover of the plant , the interest for which be earlier acquire by Polymax Worldwide Ltd. of local Metro Alliance group , which specialize in chemical production and distribution .
They have now listed the surgery for June 21 , but Ms Grady says she is worried that she may not be able to wait that long .	they have now list the surgery for June 21 , but Ms Grady say she be worried that she may not be able to wait that long .
Early on , the German forces rolled up the Russian defenders .	early on , the german force roll up the russian defender .
The words meant nothing at first . Somebody told Jose Velasquez this was the land of opportunity .	the word mean nothing at first . somebody tell Jose Velasquez this be the land of opportunity .
Carlisle joined them as they rushed to the site , checked the boy 's vital signs and began treating him .	Carlisle join they as they rush to the site , check the boy 's vital sign and begin treat he .
I like older people .	I like older people .
"You just have to have respect for that , "" says Ramirez , who does anti - abortion work at her high school ."	"you just have to have respect for that , "" say Ramirez , who do anti - abortion work at she high school ."
Garrett Anderson added an RBI single off Eddie Guardado in the ninth .	Garrett Anderson add a RBI single off Eddie Guardado in the ninth .
Richard Hamilton was held to 14 points on 7 - for - 21 shooting .	Richard Hamilton be hold to 14 point on 7 - for - 21 shooting .
When the final whistle sounded just seconds later , several United players placed their heads in their hands , and it got worse when news came through that they had lost ground on drop - zone rivals Dundee , Dunfermline and Livingston .	when the final whistle sound just seconds later , several United player place they head in they hand , and it get worse when news come through that they have lose ground on drop - zone rival Dundee , Dunfermline and Livingston .
The vehicles were checked through the Baviaanskloof Wilderness Gate and we set our sights on Zandvlakte Guest House .	the vehicle be check through the Baviaanskloof Wilderness Gate and we set we sight on Zandvlakte Guest House .
Another 50 percent are abused by someone outside of the family whom they know and trust ; and approximately 40 percent are abused by older or larger children whom they know .	another 50 percent be abuse by someone outside of the family whom they know and trust ; and approximately 40 percent be abuse by older or larger child whom they know .
Services in Kansas City , Mo. , were planned .	service in Kansas City , Mo. , be plan .
"The mob also hurled brick chips at the cops , "" said a witness ."	"the mob also hurl brick chip at the cop , "" say a witness ."
New York called up first baseman - outfielder Brian Daubach from Triple - A Norfolk to take Cairo 's spot on the roster .	New York call up first baseman - outfielder Brian Daubach from Triple - a Norfolk to take Cairo 's spot on the roster .
He was all muddy and wet from walking over wet ground , said Nunley , who dialed 911 on his cell phone and said he was lucky to find a signal .	he be all muddy and wet from walk over wet ground , say Nunley , who dial 911 on he cell phone and say he be lucky to find a signal .
Sharon has halted the withdrawals because the PA has not lived up its agreement to dismantle the terrorist infrastructure .	Sharon have halt the withdrawal because the PA have not live up its agreement to dismantle the terrorist infrastructure .
If what he says happened actually did happen , there wo n't be a single safe seat for the Liberal Party in Quebec when the next federal election is called .	if what he say happen actually do happen , there will not be a single safe seat for the Liberal Party in Quebec when the next federal election be call .
The home 's utilities have been disconnected .	the home 's utility have be disconnect .
"Speed kills , "" Riders ' coach Brian Berns said ."	"speed kill , "" rider 's coach Brian Berns say ."
He based this book on stories told by his grandfather about arranged marriages Colonialism and French and Indian influences .	he base this book on story tell by he grandfather about arrange marriage colonialism and french and indian influence .
"In a separate opinion from Stevens ' , Scalia wrote that "" marijuana that is grown at home and possessed for personal use is never more than an instant from the interstate market even if it is for medicinal use ."	"in a separate opinion from Stevens ' , Scalia write that "" marijuana that be grow at home and possess for personal use be never more than a instant from the interstate market even if it be for medicinal use ."
Under the new Homeland Security regulations , Americans returning from the Caribbean , Bermuda , Central and South America must show passports starting Dec. 31 . But those returning from Canada and Mexico only have to show passports starting Dec. 31 , 2006 .	under the new homeland security regulation , Americans return from the Caribbean , Bermuda , Central and South America must show passport start Dec. 31 . but those return from Canada and Mexico only have to show passport start Dec. 31 , 2006 .
Al - Attiya announced plans for the zone as leaders and top government officials from 33 South American , Middle Eastern and North African countries arrived in the Brazilian capital for the summit to strengthen political and economic ties .	Al - Attiya announce plan for the zone as leader and top government official from 33 South American , Middle Eastern and North African country arrive in the brazilian capital for the summit to strengthen political and economic tie .
The incident drew criticism from the international community , but she continued to be worshipped as a goddess in her village .	the incident draw criticism from the international community , but she continue to be worship as a goddess in she village .
Miller says he got behind on paying those taxes because of two bad years in the vegetable business and a kidney ailment last fall that led to a monthlong hospitalization .	Miller say he get behind on pay those tax because of two bad year in the vegetable business and a kidney ailment last fall that lead to a monthlong hospitalization .
A SYDNEY man said yesterday he simply wanted to discuss the weather with George W. Bush , but ended up paralysing the centre of Washington and causing a major security scare .	a SYDNEY man say yesterday he simply want to discuss the weather with George W. Bush , but end up paralyse the centre of Washington and cause a major security scare .
