word	lemma
A 30- year agreement, signed by French Culture Minister Renaud Donnedieu de Vabres and Sheik Sultan bin Tahnoon Al Nahyan will establish the museum on Saadiyat Island in Abu Dhabi exchange for €832,000,000( US$1.3 billion).	a 30- year agreement, sign by French Culture Minister Renaud Donnedieu de Vabres and Sheik Sultan bin Tahnoon Al Nahyan will establish the museum on Saadiyat Island in Abu Dhabi exchange for €832,000,000( US$1.3 billion).
A7.0 Mw shock( intensity VI Strong) on the South Island was followed nine hours later by a6.4 event VII Very strong North.	a7.0 mw shock( intensity VI strong) on the South Island be follow nine hour later by a6.4 event vii very strong North.
"Aaliyah was known to have usually been accompanied by members of her immediate family and the"" Rock Boat filming credited Rashad Haughton as being first only time not present."	"Aaliyah be know to have usually be accompany by member of she immediate family and the"" rock Boat filming credite Rashad Haughton as be first only time not present."
"Aaron Burr got to be governor of Suskwahenny, before Daniel Boone shot him dead in ninety- nine."" sfn* A 1993 Got Milk?"	"Aaron Burr get to be governor of Suskwahenny, before daniel Boone shoot he dead in ninety- nine."" sfn* a 1993 get milk?"
A Barter Potluck was held at GIAC on November 12, 1991 the first of many monthly gatherings where food and skills were exchanged acquaintances made friendships renewed.	a Barter Potluck be hold at GIAC on November 12, 1991 the first of many monthly gathering where food and skill be exchange acquaintance make friendship renew.
A bison's dominance is related to its birth date. citation Bison born earlier in the breeding season are more likely be larger and dominant as adults	a bison's dominance be related to its birth date. citation Bison bear earlier in the breeding season be more likely be larger and dominant as adult
A blackboard bold capital N() often represents this set.	a blackboard bold capital N() often represent this set.
A book describing Mary was printed in 1974( Fourth and last edition 1979): Textbook by Reidar Conradi& Per Holager.	a book describe Mary be print in 1974( Fourth and last edition 1979): Textbook by Reidar Conradi& Per Holager.
About 20 minutes after the first step, Aldrin joined Armstrong on surface and became second human to set foot Moon duo began their tasks of investigating how easily a person could operate lunar.	about 20 minute after the first step, Aldrin join Armstrong on surface and become second human to set foot Moon duo begin they task of investigate how easily a person could operate lunar.
About2.9% of families and15.5 the population were below poverty line, including8.4 those under age 188.1 65 or over.	about2.9% of family and15.5 the population be below poverty line, include8.4 those under age 188.1 65 or over.
About 40% of everyday( informal) Tagalog conversation is practically made up Spanish loanwords.	about 40% of everyday( informal) tagalog conversation be practically make up spanish loanword.
About 72% of Japan is mountainous, with a mountain range running through each the main islands.	about 72% of Japan be mountainous, with a mountain range run through each the main island.
About 8– 15 days of snowfall per year is typical. November to March have the highest mean wind speeds, and June August lightest winds	about 8- 15 day of snowfall per year be typical. November to March have the highest mean wind speed, and June August lightest wind
About 954 they started to protect the monastery and buildings by a sourrounding wall. citation Around971/974 abbot Notker finalized walling adjoining settlements become town of St Gall	about 954 they start to protect the monastery and building by a sourrounding wall. citation around971/974 abbot Notker finalize walling adjoin settlement become town of St Gall
About two weeks later, on September 19 also at Tropicana Field a boundary call was overturned for the first time.	about two week later, on September 19 also at Tropicana Field a boundary call be overturn for the first time.
Above that are the outer layers form a convection zone where gas material transports energy primarily through physical displacement of.	above that be the outer layer form a convection zone where gas material transport energy primarily through physical displacement of.
Abrasive garnet was mainly mined as a secondary product while mining for gem garnets and used lapping polishing media the glass industries.	abrasive garnet be mainly mine as a secondary product while mining for gem garnet and use lap polishing media the glass industry.
A brief overview of methods is presented here; for detailed coverage, see the cross- referenced articles.	a brief overview of method be present here; for detailed coverage, see the cross- reference article.
Absorption of a poison is necessary for systemic poisoning.	absorption of a poison be necessary for systemic poisoning.
ABS was added to the short- wheelbase Commodore range in 1992.	ABS be add to the short- wheelbase Commodore range in 1992.
Academy of Management Journal, 40( 4):pp.862-898.	Academy of management Journal, 40( 4):pp.862-898.
A calliope is typically very loud.	a calliope be typically very loud.
A case of brown bear predation on Abruzzo chamois.	a case of brown bear predation on Abruzzo chamois.
Accessed 11 January 2012 The town has a variety of both national and independent shops, many which are located in Monnow Street.	access 11 January 2012 the town have a variety of both national and independent shop, many which be locate in Monnow Street.
Access to clean water is often a problem in Chad.	access to clean water be often a problem in Chad.
Access to main memory is slower than access a register like the accumulator because technology used for large( but cheaper) that.	access to main memory be slower than access a register like the accumulator because technology use for large( but cheaper) that.
Accordingly, a member of Congress may not be sued in court for slander because remarks made either house although each has its own rules restricting offensive speeches and punish members who transgress.	accordingly, a member of Congress may not be sue in court for slander because remark make either house although each have its own rule restrict offensive speech and punish member who transgress.
Accordingly, manganese dioxide catalyses this reaction.	accordingly, manganese dioxide catalyse this reaction.
According to Allentoft et al.	accord to Allentoft et al.
According to asocio-political study of liberation theology in Latin America, quarter the final Puebla documents were written by theologians who not invited conference.	accord to asocio-political study of liberation theology in Latin America, quarter the final Puebla document be write by theologian who not invite conference.
According to Beaumont, the directorial style is not informed by his satiric intent.	accord to Beaumont, the directorial style be not inform by he satiric intent.
According to Cicero, Hegesias wrote a book called Death by Starvation which supposedly persuaded many people that death was more desirable than life.	accord to Cicero, Hegesias write a book call death by Starvation which supposedly persuade many people that death be more desirable than life.
According to Dean Devlin, test audiences responded well the scene's irony and comedic value.	accord to Dean Devlin, test audience respond well the scene's irony and comedic value.
According to europaworld.	accord to europaworld.
According to geographic scholars under colonizing empires, the world could be split into climatic zones.	accord to geographic scholar under colonize empire, the world could be split into climatic zone.
According to her account of his death citation in This Timeless Moment, she obliged with an injection at11:20a.m. and a second dose hour later; Huxley died aged 695:20p.m.( Los Angeles time) on 22 November 1963.	accord to she account of he death citation in this timeless moment, she oblige with a injection at11:20a.m. and a second dose hour later; Huxley die aged 695:20p.m.( Los Angeles time) on 22 November 1963.
According to Kinsey, only a minority( 5– 10%) can be considered fully heterosexual or homosexual.	accord to Kinsey, only a minority( 5- 10%) can be consider fully heterosexual or homosexual.
"According to Michaels this was the"" Golden Age of Hinduism sfn(c. 320–650 CEsfn), which flourished during Gupta Empiresfn 320 550 CE until fall Harsha 606 647."	"accord to Michaels this be the"" golden age of Hinduism sfn(c. 320–650 CEsfn), which flourish during Gupta Empiresfn 320 550 ce until fall Harsha 606 647."
According to Moser, the discovery of BDSM preferences can result in fear current non-BDSM relationship's destruction.	accord to Moser, the discovery of bdsm preference can result in fear current non-bdsm relationship's destruction.
According to other theories, emotions are not causal forces but simply syndromes of components which might include motivation feeling behavior and physiological changes no one these is the emotion.	accord to other theory, emotion be not causal force but simply syndrome of component which might include motivation feeling behavior and physiological change no one these be the emotion.
According to Raymond, hackers from the programmer subculture usually work openly and use their real name while computer security prefer secretive groups identity- concealing aliases.	accord to Raymond, hacker from the programmer subculture usually work openly and use they real name while computer security prefer secretive group identity- conceal aliase.
According to Sudan officials, however this stance became obsolete as the Islamist political leader Hassan al- Turabi lost influence in their country.	accord to Sudan official, however this stance become obsolete as the Islamist political leader Hassan al- Turabi lose influence in they country.
According to the confession, Warbeck was born a man called John Osbeck( also known as Jehan de Werbecque).	accord to the confession, Warbeck be bear a man call John Osbeck( also know as Jehan de Werbecque).
According to the interactionist approach, roles( including gender) are not fixed but constantly negotiated between individuals.	accord to the interactionist approach, role( include gender) be not fix but constantly negotiate between individual.
According to their book, the Church is not that hierarchy which generally designated as; entire body of those who from eternity have been predestined for salvation.	accord to they book, the Church be not that hierarchy which generally designate as; entire body of those who from eternity have be predestine for salvation.
"According to the liturgy of service it is customary at a certain point read prayer,"" Who Resteth with Saints."	"accord to the liturgy of service it be customary at a certain point read prayer,"" who Resteth with Saints."
According to the most recent index of 2014, Russia currently occupies rank 132( out 167 examined countries; see Democracy Index) and is given a total score3.39 10.	accord to the most recent index of 2014, Russia currently occupy rank 132( out 167 examine country; see Democracy index) and be give a total score3.39 10.
According to the narrative, Moroni was last prophet among these people and had buried record which God promised bring forth in latter days.	accord to the narrative, Moroni be last prophet among these people and have bury record which God promise bring forth in latter day.
According to the National Indigenous Organization of Colombia( ONIC),80.000 members indigenous communities have been displaced from their native lands since 2004 because FARC- related violence.	accord to the National Indigenous Organization of Colombia( ONIC),80.000 member indigenous community have be displace from they native land since 2004 because FARC- related violence.
According to Theravada commentaries, there are five requisite factors that must all be fulfilled for an act both of killing and karmically negative.	accord to Theravada commentary, there be five requisite factor that must all be fulfil for a act both of kill and karmically negative.
According to the reconstruction, he was a sharp- faced man bald headed with white beard and moustache. citation Samuel is among most renowned Bulgarian rulers	accord to the reconstruction, he be a sharp- face man bald head with white beard and moustache. citation Samuel be among most renowned bulgarian ruler
According to the supreme wisdom lessons, Fard taught that whites were devils because of a culture lies and murder Yakub instituted on island ensure creation his new people.	accord to the supreme wisdom lesson, Fard teach that white be devil because of a culture lie and murder Yakub institute on island ensure creation he new people.
"According to the US General Services Administration::""."	"accord to the US General Services Administration::""."
According to this naming system, 12- TET is called EDO 31 and so on.	accord to this naming system, 12- TET be call EDO 31 and so on.
Accuracy An ADC has several sources of errors.	accuracy a ADC have several source of error.
Accuracy is expressed as circular error probable( CEP).	accuracy be express as circular error probable( cep).
Accusations flew between the two, as well matter of custody.	accusation fly between the two, as well matter of custody.
Aces; double the field would be a more common call when not on comeout roll to remind dealers pay bets and encourage bettor place subsequent/ or no crap have been placed.	ace; double the field would be a more common call when not on comeout roll to remind dealer pay bet and encourage bettor place subsequent/ or no crap have be place.
A change to the software was made in April 1999 that allowed onboard computer detect these resets and autonomously recover, so as avoid safe mode.	a change to the software be make in April 1999 that allow onboard computer detect these reset and autonomously recover, so as avoid safe mode.
A Chinese chef had to master flaming and heat radiation reliably prepare traditional recipes.	a chinese chef have to master flaming and heat radiation reliably prepare traditional recipe.
A Citizen of America( Noah Webster) October 10, 1787 Pamphlet: An Examination into the leading principles Federal Constitution.	a citizen of America( Noah Webster) October 10, 1787 pamphlet: a examination into the lead principle Federal Constitution.
A class roads are further divided into' AA, AB& AC classes.	a class road be further divide into' aa, ab& ac class.
A CMOS circuit is created to allow a path always exist from the output either power source or ground.	a CMOS circuit be create to allow a path always exist from the output either power source or ground.
A comb is placed in the cast to create wells for loading sample, and gel should be completely set before use.	a comb be place in the cast to create well for loading sample, and gel should be completely set before use.
A commentary on Porphyry's Isagoge may also be his, but it is somewhat corrupt and contains later interpolations.	a commentary on Porphyry's Isagoge may also be he, but it be somewhat corrupt and contain later interpolation.
"A common feature of more expensive basses is"" neck- through construction."	"a common feature of more expensive bass be"" neck- through construction."
A commonly accepted hypothesis attributes the high mortality of this colony in part to Old World diseases which natives had no immunity.	a commonly accept hypothesis attribute the high mortality of this colony in part to Old World disease which native have no immunity.
A comparatively low- cost microcontroller may be programmed to fulfill the same role as a large number of separate components.	a comparatively low- cost microcontroller may be program to fulfill the same role as a large number of separate component.
A contemporary German jurist said: error The validity of the court has been questioned on a number grounds* defendants were not allowed to appeal or affect selection judges.	a contemporary german jurist say: error the validity of the court have be question on a number grounds* defendant be not allow to appeal or affect selection judge.
A correlation function is given by a ratio of path- integrals::: The top the sum over all Feynman diagrams, including disconnected that do not link up to external lines at.	a correlation function be give by a ratio of path- integral::: the top the sum over all Feynman diagram, include disconnect that do not link up to external line at.
A council of twenty- five barons would be created to monitor and ensure John's future adherence the charter, whilst rebel army stand down London surrendered king.	a council of twenty- five baron would be create to monitor and ensure John's future adherence the charter, whilst rebel army stand down London surrender king.
Acoustics The Helmholtz corner traveling back and forth along the string.	acoustic the Helmholtz corner travel back and forth along the string.
Acquiring a job with the Vim Company in early 1915, he returned to Jacksonville spring of 1917 before relocating Los Angeles October.	acquire a job with the Vim Company in early 1915, he return to Jacksonville spring of 1917 before relocate Los Angeles October.
A critical edition of a Syriac Acta Saint George, accompanied by an annotated English translation was publishedE.W. Brooks( 1863– 1955) in 1925.	a critical edition of a Syriac Acta Saint George, accompany by a annotate English translation be publishE.W. Brooks( 1863- 1955) in 1925.
Activities are grouped into five programs:* Nonproliferation.	activity be group into five program:* Nonproliferation.
Actual fighting continued until August 21. From 22 to 23, most remaining Japanese units agreed a ceasefire	actual fighting continue until August 21. from 22 to 23, most remain japanese unit agree a ceasefire
"Actual use or typical effectiveness rates include all women relying on fertility awareness to avoid pregnancy, including those who fail meet the"" perfect criteria."	"actual use or typical effectiveness rate include all woman rely on fertility awareness to avoid pregnancy, include those who fail meet the"" perfect criterion."
Adams History of Western Artpp. 195–216 Stained glass became a crucial element in the design churches, which continued to use extensive wall- paintings now almost all lost.	Adams history of western Artpp. 195–216 stain glass become a crucial element in the design church, which continue to use extensive wall- painting now almost all lose.
Adams, under Monroe's supervision wrote the instructions for ministers( ambassadors) to these new countries.	Adams, under Monroe's supervision write the instruction for minister( ambassador) to these new country.
"A Dash- produced track"" It 's That Simple featuringM.O.P. premiered on radio stations in July 2003, generating mixed reviews."	"a Dash- produce track"" it be that simple featureM.O.P. premier on radio station in July 2003, generate mix review."
A day earlier the Violet sank and 280 died; several days later Ruby with 213 on board.	a day earlier the Violet sank and 280 die; several day later Ruby with 213 on board.
A Day Without Rain was released in November 2000.	a Day without Rain be release in November 2000.
Add- drop multiplexer multiplexers( ADMs) are the most common type of network elements.	add- drop multiplexer multiplexer( adm) be the most common type of network element.
Added to this, Real is allowed wear a Multiple– winner badge on their shirt during UEFA Champions League matches as they have won more than five European Cups.	add to this, Real be allow wear a multiple- winner badge on they shirt during UEFA Champions League match as they have win more than five european cup.
Adding to the Hajj- related diversity, oil boom of past 50 years has brought hundreds thousands working immigrants.	add to the Hajj- related diversity, oil boom of past 50 year have bring hundred thousand work immigrant.
Additional Arab forces operating on the Egyptian front were a Libyan armored brigade and Kuwaiti infantry battalion which had been deployed in Egypt before war, an Algerian armoured arrived 17 October.	additional arab force operate on the egyptian front be a libyan armored brigade and kuwaiti infantry battalion which have be deploy in Egypt before war, a algerian armoured arrive 17 October.
Additionally, at its annual convention each year the Order recognizes other individuals and councils with awards.	additionally, at its annual convention each year the Order recognize other individual and council with award.
Additionally, season nine episode 8 shows Dennis Mac and Dee getting a can of gasoline to use as solvent but instead end up taking turns huffing from the canister.	additionally, season nine episode 8 show Dennis Mac and Dee get a can of gasoline to use as solvent but instead end up take turn huff from the canister.
Additionally, the clitoris is very sensitive after orgasm making further stimulation initially painful for some women.	additionally, the clitoris be very sensitive after orgasm make further stimulation initially painful for some woman.
Additionally, there is no convincing evidence that COPI vesicles move in both the anterograde and retrograde directions.	additionally, there be no convincing evidence that COPI vesicle move in both the anterograde and retrograde direction.
Additionally, the thermocouples that convert heat into electricity also degrade reducing available power below this calculated level.	additionally, the thermocouple that convert heat into electricity also degrade reduce available power below this calculate level.
"Additionally, the United Kingdom's Olympic team competes under name"" Great Britain or Team GB. citation The adjective British is commonly used to refer matters relating"	"additionally, the United Kingdom's Olympic team compete under name"" Great Britain or Team GB. citation the adjective British be commonly use to refer matter relate"
Additional oil production coming on line in 2001, combined with methanol gas exports from the new CMS- Nomeco plant should increase export earnings substantially.	additional oil production come on line in 2001, combine with methanol gas export from the new cms- nomeco plant should increase export earning substantially.
Additional work may also be done by the flavor company.	additional work may also be do by the flavor company.
Address phase A PCI bus transaction begins with an address.	address phase a pci bus transaction begin with a address.
A deadlock was reached.	a deadlock be reach.
"A decree of June 10, 1630 by Urban VII bestowed the title"" His Eminence historically reserved for high nobility upon cardinals thus elevating them above' Excellency then being used to refer Italian princes."	"a decree of June 10, 1630 by Urban VII bestow the title"" he Eminence historically reserve for high nobility upon cardinal thus elevate they above' excellency then be use to refer italian prince."
A defector who flew his MiG- 21 to Syria in June 1982 revealed that the Iraqi Air Force had only three squadrons of fighter bombers left were capable mounting offensive operations into Iran.	a defector who fly he MiG- 21 to Syria in June 1982 reveal that the Iraqi Air Force have only three squadron of fighter bomber leave be capable mount offensive operation into Iran.
A density flow evaluation is recommended to qualitatively evaluate the piezoelectric power harvesting potential of considered area based on number pedestrian crossings per unit time.	a density flow evaluation be recommend to qualitatively evaluate the piezoelectric power harvesting potential of consider area base on number pedestrian crossing per unit time.
A diagonal relationship exists between the behavior of magnesium and scandium, just as there is beryllium aluminium.	a diagonal relationship exist between the behavior of magnesium and scandium, just as there be beryllium aluminium.
A digital sound recorder can typically store around 200 hours of clearly intelligible speech in 640 MB.	a digital sound recorder can typically store around 200 hour of clearly intelligible speech in 640 mb.
A disadvantage with sequences is that two separate applications have to be made and it possible the later application will less effective on weeds surviving first.	a disadvantage with sequence be that two separate application have to be make and it possible the later application will less effective on weed survive first.
A dissertation upon the philosophy of light, heat and fire.	a dissertation upon the philosophy of light, heat and fire.
A distinguishing mark is a slight bulge at the top of fin.	a distinguishing mark be a slight bulge at the top of fin.
Adjectives and pronouns must agree in all features with the noun they are bound to.	adjective and pronoun must agree in all feature with the noun they be bound to.
Adjectives do not agree with the noun but may be given endings if there is no present to receive them.	adjective do not agree with the noun but may be give ending if there be no present to receive they.
Administrative problems Casa Milà caused some administrative too, on December 1907 the City Hall stopped work building because of a pillar which occupied part sidewalk not respecting alignment facades.	administrative problem Casa Milà cause some administrative too, on December 1907 the City Hall stop work building because of a pillar which occupy part sidewalk not respect alignment facade.
Adobe roofs are of clay, mixed with binding material such as straw or animal hair and plastered on lathes to form a flat gently sloped roof usually in areas low rainfall.	Adobe roof be of clay, mix with bind material such as straw or animal hair and plaster on lathe to form a flat gently slope roof usually in area low rainfall.
ADSL connections, speeds up to8M/ 800 K are priced differently.	adsl connection, speed up to8m/ 800 k be price differently.
Adults communicate to maintain contact and during sexual play behaviors.	adult communicate to maintain contact and during sexual play behavior.
Advances in computers now allow the sequencing of planes hours advance.	advance in computer now allow the sequencing of plane hour advance.
Advantages over POP Connected and disconnected modes of operation When using, clients typically connect to thee-mail server briefly only as long it takes download new messages.	advantage over pop connect and disconnect mode of operation when use, client typically connect to thee-mail server briefly only as long it take download new message.
Adventists should cooperate insofar as the authentic gospel is proclaimed and crying human needs are being met.	Adventists should cooperate insofar as the authentic gospel be proclaim and cry human need be be meet.
Advertisers perceive older listeners as set in their brand choices and not responsive to advertising younger, more impulsive.	advertiser perceive older listener as set in they brand choice and not responsive to advertising younger, more impulsive.
Advertising promoted the system as a paradigm shift from past consoles; some pieces used cavemen to indicate historical evolution, while others utilized psychedelic imagery.	advertising promote the system as a paradigm shift from past console; some piece use cavemen to indicate historical evolution, while other utilize psychedelic imagery.
Aeroponic techniques have been given special attention from NASA since a mist is easier to handle than liquid inzero-gravity environment.	Aeroponic technique have be give special attention from NASA since a mist be easier to handle than liquid inzero-gravity environment.
A feeling of fatigue may last for weeks in adults.	a feeling of fatigue may last for week in adult.
A female guest will give her views on men and reply to any specific points raised by the previous speaker.	a female guest will give she view on man and reply to any specific point raise by the previous speaker.
A few authors even view the disc as technically meeting all definitional criteria to represent an early incidence of movable- type printing.	a few author even view the disc as technically meet all definitional criterion to represent a early incidence of movable- type printing.
"A few common words, such as txakur/ tʃakur"" dog use palatal sounds even though in current usage they have lost the diminutive sense; correspondingnon-palatal forms now acquiring an augmentative or pejorative: zakur— big."	"a few common word, such as txakur/ tʃakur"" dog use palatal sound even though in current usage they have lose the diminutive sense; correspondnon-palatal form now acquire a augmentative or pejorative: zakur— big."
A few days later, Holt announced a new Royal Commission into the disaster.	a few day later, Holt announce a new Royal Commission into the disaster.
A few members of ethnicities other Axis countries were interned, but exact numbers are unknown.	a few member of ethnicity other Axis country be intern, but exact number be unknown.
A few months later, he died.	a few month later, he die.
A few sketches also included Kevin McDonald as another coworker named Ann, and Dave Foley in a dual role their supervisor Elizabeth Cathy's roommate Patty.	a few sketch also include Kevin McDonald as another coworker name Ann, and Dave Foley in a dual role they supervisor Elizabeth Cathy's roommate Patty.
A few small sections of the Roman London Wall exist, for example near Tower and in Barbican area.	a few small section of the Roman London Wall exist, for example near Tower and in Barbican area.
A few species of roses have only vestigial prickles that no points.	a few species of rose have only vestigial prickle that no point.
A few years later Marci sent the book to Kircher, his longtime friend and correspondent.	a few year later Marci send the book to Kircher, he longtime friend and correspondent.
A fight started and, as Dazzler was still empowered by sound blasts that Galactus's ship kept firing inside the black hole she able to render Terrax unconscious.	a fight start and, as Dazzler be still empower by sound blast that Galactus's ship keep fire inside the black hole she able to render Terrax unconscious.
A firearms safety course must be passed prior to applying for a PAL.	a firearm safety course must be pass prior to apply for a pal.
A flow has both a magnitude and direction, of which can vary substantially with depth over short distances due to local bathymetry.	a flow have both a magnitude and direction, of which can vary substantially with depth over short distance due to local bathymetry.
A former Stasi colonel who served in the counterintelligence directorate estimated that figure could be as high 2 million if occasional informants were included.	a former stasi colonel who serve in the counterintelligence directorate estimate that figure could be as high 2 million if occasional informant be include.
A Fresnel lens can also capture more oblique light from a source, thus allowing the lighthouse equipped with one to be visible over greater distances.	a Fresnel lens can also capture more oblique light from a source, thus allow the lighthouse equip with one to be visible over greater distance.
African creole people in the early 18th century— documented on cases of Hendrik Bibault and patriarch Oude Ram were first to call themselves Afrikaner( Africans).	african creole people in the early 18th century- document on case of Hendrik Bibault and patriarch Oude Ram be first to call themselves Afrikaner( Africans).
African harbours were closed to the South government, and aircraft prohibited from flying over rest of continent.	african harbour be close to the South government, and aircraft prohibit from fly over rest of continent.
Africa's recovery in the 1990s: from stagnation and adjustment to human development( St.	Africa's recovery in the 1990: from stagnation and adjustment to human development( St.
Africa The Financial Times in its Executive Education Rankings for 2012 included 5 African business schools.	Africa the Financial Times in its Executive education ranking for 2012 include 5 african business school.
Africa World Press.	Africa World Press.
A front- lit screen was added and the new version called GP32 FLU( Front Light Unit).	a front- light screen be add and the new version call GP32 FLU( Front Light unit).
After 1940, production was cut from 50 pictures a year to more manageable 25 features per.	after 1940, production be cut from 50 picture a year to more manageable 25 feature per.
After 1987: WOMAD and beyond One origin of the term was initiation World Music Day( Fête de la Musique) in 1982 France.	after 1987: WOMAD and beyond one origin of the term be initiation World Music Day( Fête de la Musique) in 1982 France.
After 2010, squatting still continues in many cities.	after 2010, squatting still continue in many city.
After 2 ½ months of hard labour, they could net as little$ 16.	after 2 ½ month of hard labour, they could net as little$ 16.
After a$ 185 million renovation of the historic stadium, on April 6 Saints released their 2006 schedule with all home games scheduled to be played at Superdome.	after a$ 185 million renovation of the historic stadium, on April 6 Saints release they 2006 schedule with all home game schedule to be play at Superdome.
After a 20- mile trek in the dark, his exhausted men reached Dover on morning of July 1 as Battle Gettysburg was commencing without them.	after a 20- mile trek in the dark, he exhaust man reach Dover on morning of July 1 as Battle Gettysburg be commence without they.
After a brave hard fight the blossoms are scattered on fighting field.	after a brave hard fight the blossom be scatter on fighting field.
"After a brutal torture session in front of his wife, Marcelo was supposedly"" transferred to another camp but nothing heard him since."	"after a brutal torture session in front of he wife, Marcelo be supposedly"" transfer to another camp but nothing hear he since."
After a defeat in A Coruña against Deportivo on 9 December 2001, the team had to win Espanyol at Estadi Olímpic Lluís Companys prevent falling further behind league leaders.	after a defeat in a Coruña against Deportivo on 9 December 2001, the team have to win Espanyol at Estadi Olímpic Lluís Companys prevent fall further behind league leader.
After an extended manhunt, he escapes by wading into a river and floating downstream.	after a extend manhunt, he escape by wading into a river and float downstream.
After a period of continued jockeying and negotiation, Rabuka staged second coup on 25 September 1987.	after a period of continue jockeying and negotiation, Rabuka stage second coup on 25 September 1987.
After applying corrections for the finite amplitude of swing, buoyancy bob barometric pressure and altitude temperature he obtained a value39.13929 inches seconds pendulum at London in vacuum sea level 62 °F.	after apply correction for the finite amplitude of swing, buoyancy bob barometric pressure and altitude temperature he obtain a value39.13929 inch seconds pendulum at London in vacuum sea level 62 °F.
"After a season at United, Queiroz left to manage Real Madrid in June 2003. citation Ferguson anticipated his deputy would return–"" Three months later he was wanting quit and for that reason did not appoint replacement"	"after a season at United, Queiroz leave to manage Real Madrid in June 2003. citation Ferguson anticipate he deputy would return-"" three month later he be want quit and for that reason do not appoint replacement"
After a short conversation with both Largo and Erika on the phone, bit more Miho Piro instructs her to stay in apartment until they can figure out what do.	after a short conversation with both Largo and Erika on the phone, bit more Miho Piro instruct she to stay in apartment until they can figure out what do.
After a six- year hiatus Hewitt returned to compete in the 2010 World Team Cup and won his first match against John Isner but fell Nicolás Almagro last.	after a six- year hiatus Hewitt return to compete in the 2010 World Team Cup and win he first match against John Isner but fall Nicolás Almagro last.
After becoming the San Francisco Giants and Oakland A's, they met in a fourth Series 1989 resulting last world championship( as of 2014).	after become the San Francisco Giants and Oakland A's, they meet in a fourth Series 1989 result last world championship( as of 2014).
